Restaurant_seq_ID,restaurant_ID,restaurant_name,country_code,Country,city,Address,locality,locality_verbose,restaurant_latitude,restaurant_longitude,cuisines,average_cost_for_two,currency,has_table_booking,has_online_delivery,is_delivering_now,switch_to_order_menu,price_range,aggregate_rating,rating_color,rating_text,rating_votes
4714,5701052,Applebee's,214,UAE,Abu Dhabi,"Level 3, Mushrif Mall, Al Mushrif, Abu Dhabi","Mushrif Mall, Al Mushrif","Mushrif Mall, Al Mushrif, Abu Dhabi",24.434099,54.413141,"American, Mexican, Seafood",250,AED,N,Y,N,N,4,4.0,5BA829,Very Good,205
4715,5701446,Olive Garden,214,UAE,Abu Dhabi,"Level 3, Al Wahda Mall Extension, Al Wahda, Abu Dhabi","Al Wahda Mall, Al Wahda","Al Wahda Mall, Al Wahda, Abu Dhabi",24.469370,54.373322,"Italian, Pizza",230,AED,N,N,N,N,4,4.1,5BA829,Very Good,422
4716,5701548,Bait El Khetyar,214,UAE,Abu Dhabi,"Al Najda Street, Najda, Abu Dhabi",Najda,"Najda, Abu Dhabi",24.488411,54.371434,"Lebanese, Arabian, Middle Eastern",70,AED,N,Y,N,N,2,4.0,5BA829,Very Good,380
4717,5701729,Sofra Istanbul,214,UAE,Abu Dhabi,"Next to ADNOC Petrol Station, Muroor Road, Al Dhafrah, Abu Dhabi",Al Dhafrah,"Al Dhafrah, Abu Dhabi",24.477565,54.371279,"Turkish, Arabian, Middle Eastern",70,AED,N,N,N,N,2,4.3,5BA829,Very Good,224
4718,5701917,P.F. Chang's,214,UAE,Abu Dhabi,"Level 1, World Trade Center Mall, Central Market, Al Markaziya, Abu Dhabi","World Trade Center Mall, Al Markaziya","World Trade Center Mall, Al Markaziya, Abu Dhabi",24.487611,54.357829,Chinese,250,AED,N,N,N,N,4,4.2,5BA829,Very Good,435
4719,5701978,Pizza Di Rocco,214,UAE,Abu Dhabi,"Near Corner of Salam and Al Falah Street (9th Street), Salam Street, Al Dhafrah, Abu Dhabi",Al Dhafrah,"Al Dhafrah, Abu Dhabi",24.485579,54.381931,"Italian, Pizza",150,AED,Y,Y,N,N,3,4.4,5BA829,Very Good,471
4720,5702418,Gazebo,214,UAE,Abu Dhabi,"Ground Level, Next to E-Max, Dalma Mall, Mussafah Sanaiya, Abu Dhabi","Dalma Mall, Mussafah Sanaiya","Dalma Mall, Mussafah Sanaiya, Abu Dhabi",24.334217,54.524122,"Indian, North Indian, Mughlai, Biryani",120,AED,Y,Y,N,N,3,4.0,5BA829,Very Good,355
4721,5702574,The Cheesecake Factory,214,UAE,Abu Dhabi,"Level 1, Yas Mall, Yas Leisure Dr, Yas Island, Abu Dhabi","Yas Mall, Yas Island","Yas Mall, Yas Island, Abu Dhabi",24.490531,54.606854,"American, Desserts",200,AED,N,N,N,N,4,4.6,3F7E00,Excellent,586
4722,5702615,Via Delhi,214,UAE,Abu Dhabi,"Near First Flight Couriers, Behind ADNOC Head Office, Salam Street, Najda Area, Najda, Abu Dhabi",Najda,"Najda, Abu Dhabi",24.490892,54.374221,"Indian, North Indian, Chinese",100,AED,N,Y,N,N,3,4.0,5BA829,Very Good,525
4723,5703500,Punjab Grill,214,UAE,Abu Dhabi,"Venetian Village, Ritz Carlton Abu Dhabi, Grand Canal, Al Maqtaa, Abu Dhabi","Venetian Village, Al Maqtaa","Venetian Village, Al Maqtaa, Abu Dhabi",24.410615,54.487214,"Indian, North Indian",330,AED,Y,N,N,N,4,4.9,3F7E00,Excellent,216
